Region,Country ,Exchange,Name,Forex,Symbol,ISIN,SEDOL,Close(local),Mcap(local),Mcap(USD),Industry,Supersector,1 Day Close,1 Week Close,2 Week Close,1 Month Close,2 Month Close,3 Month Close,1 Day Change %,1 Day Change % (USD),1 Week Change %,1 Week Change % (USD),2 Week Change %,2 Week Change % (USD),1 Month Change %,1 Month Change % (USD),2 Month Change %,2 Month Change % USD,3 Month Change %,3 Month Change % (USD),RecScore
Asia Pacific,AU,ASX,Coca-Cola Amatil Ltd.,AUD,CCL.AX,AU000000CCL2,6123451,8.67,4362412710,3031004351,Consumer Goods,Food & Beverage,8.51,8.35,8.15,9.01,9.15,8.82,0.01880141,0.019314882,0.038323353,0.031567979,0.063803681,0.118116326,-0.037735849,0.024017663,-0.052459016,0.035306614,-0.017006803,-0.012244308,0.252894709
Asia Pacific,AU,ASX,Lion Nathan Ltd.,AUD,LNN.AX,AU000000LNN6,6538215,8.08,2325386466,1615678516,Consumer Goods,Food & Beverage,8.03,7.87,8.1,8.7,8.2,8.02,0.00622665,0.006733784,0.026683609,0.020003962,-0.002469136,0.048459942,-0.071264368,-0.011662556,-0.014634146,0.076634998,0.007481297,0.012362434,0.263248206
Asia Pacific,AU,ASX,Ansell Ltd.,AUD,ANN.AX,AU000000ANN9,6286611,8.56,1159534929,805644869,Health Care,Health Care,8.71,8.67,7.7,8.3,10.21,12.35,-0.017221584,-0.016726268,-0.012687428,-0.019110924,0.111688312,0.168445714,0.031325301,0.097510828,-0.161606268,-0.083950362,-0.306882591,-0.303524513,0.337566306
Asia Pacific,AU,ASX,Sonic Healthcare Ltd.,AUD,SHL.AX,AU000000SHL7,6821120,11.07,3933296260,2732854242,Health Care,Health Care,11.42,11.22,11.05,12,13.9,13.8,-0.030647986,-0.030159436,-0.013368984,-0.019788046,0.001809955,0.177036979,-0.0775,0.097384396,-0.203597122,-0.027290696,-0.197826087,-0.098954281,0.420595386
Asia Pacific,AU,ASX,Cochlear Ltd.,AUD,COH.AX,AU000000COH5,6211798,50.1,2786705386,1936202902,Health Care,Health Care,48.6,47.46,49.87,52.25,58.98,53.8,0.030864198,0.031383749,0.05562579,0.048757845,0.004611991,0.055902597,-0.041148325,0.02038619,-0.150559512,-0.071880404,-0.068773234,-0.064261542,0.445433539
Asia Pacific,AU,ASX,Primary Health Care Ltd.,AUD,PRY.AX,AU000000PRY5,6117766,4.55,1323068120,919267730,Health Care,Health Care,4.55,3.95,3.8,4.56,4.8,4.83,0,0.000503996,0.151898734,0.144404433,0.197368421,0.258500233,-0.002192982,0.0618415,-0.052083333,0.035717094,-0.057971014,-0.053406987,0.408852429
Asia Pacific,AU,ASX,CSL Ltd.,AUD,CSL.AX,AU000000CSL8,6185495,32.49,19433678189,13502519606,Health Care,Health Care,32.99,30.85,33.25,38.26,37.5,33.22,-0.015156108,-0.014659751,0.053160454,0.046308548,-0.022857143,0.027031022,-0.150810246,-0.096313308,-0.1336,-0.053350024,-0.021974714,-0.017236288,0.265589141
Asia Pacific,AU,ASX,Brambles Ltd.,AUD,BXB.AX,AU000000BXB1,B1FJ0C0,4.8,6648865104,4619631474,Industrials,Industrial Goods & Services,5.24,5.64,5.17,4.85,6.8,7.43,-0.083969466,-0.08350779,-0.14893617,-0.154473227,-0.071566731,-0.024165441,-0.010309278,0.05320434,-0.294117647,-0.228735558,-0.35397039,-0.350840447,0.366928506
Asia Pacific,AU,ASX,Amcor Ltd.,AUD,AMC.AX,AU000000AMC4,6066608,4.45,3730358553,2591853123,Industrials,Industrial Goods & Services,4.67,4.4,4.04,4.39,5.39,5.8,-0.047109208,-0.046628955,0.011363636,0.004783663,0.101485149,0.157721626,0.013667426,0.078719754,-0.174397032,-0.097925865,-0.232758621,-0.22904142,0.26982743
Asia Pacific,AU,ASX,Macquarie Airports,AUD,MAP.AX,AU000000MAP6,6543628,1.815,2152979631,1495890247,Industrials,Industrial Goods & Services,1.735,1.67,1.71,1.555,2.29,2.31,0.04610951,0.046636745,0.086826347,0.07975541,0.061403509,0.115593613,0.167202572,0.242108052,-0.207423581,-0.134011486,-0.214285714,-0.210479014,0.434918679
Asia Pacific,AU,ASX,Transurban Group,AUD,TCL.AX,AU000000TCL6,6200882,4.67,5583890591,3879687183,Industrials,Industrial Goods & Services,4.63,4.49,3.9,4.5,5.13,5.29,0.008639309,0.009147659,0.040089087,0.033322224,0.197435897,0.258571154,0.037777778,0.104377393,-0.089668616,-0.005349511,-0.117202268,-0.11292521,0.29303181
Asia Pacific,AU,ASX,Macquarie Infrastructure Group,AUD,MIG.AX,AU000000MIG8,6456942,1.47,3520664510,2446157702,Industrials,Industrial Goods & Services,1.4,1.28,1.21,1.08,1.6,1.605,0.05,0.050529196,0.1484375,0.140965718,0.214876033,0.276901699,0.361111111,0.448460714,-0.08125,0.003848876,-0.08411215,-0.079674772,0.529836895
Asia Pacific,AU,ASX,Sims Metal Management Ltd.,AUD,SGM.AX,AU000000SGM7,B0LCW75,16.8,2207492259,1533765622,Industrials,Industrial Goods & Services,18.94,18,16.5,18,17,17.08,-0.112988384,-0.112541334,-0.066666667,-0.072738972,0.018181818,0.070165234,-0.066666667,-0.006769796,-0.011764706,0.079770219,-0.016393443,-0.011627975,0.338046014
Asia Pacific,AU,ASX,Toll Holdings Ltd.,AUD,TOL.AX,AU000000TOL1,6693749,6.25,4071777359,2829070909,Industrials,Industrial Goods & Services,6.25,6.15,5.78,5.29,5.47,6.07,0,0.000503996,0.016260163,0.009648332,0.081314879,0.206728832,0.18147448,0.334963824,0.142595978,0.325548694,0.029654036,0.098556418,0.509922018
Asia Pacific,AU,ASX,QBE Insurance Group Ltd.,AUD,QBE.AX,AU000000QBE9,6715740,19.27,18949161129,13165877152,Financials,Insurance,19.74,18.56,17.15,20.01,24,25.46,-0.023809524,-0.023317528,0.03825431,0.031499385,0.12361516,0.180981489,-0.036981509,0.024820413,-0.197083333,-0.122713477,-0.243126473,-0.239459503,0.44663912
Asia Pacific,AU,ASX,AXA Asia Pacific Holdings Ltd.,AUD,AXA.AX,AU000000AXA5,6617794,3.4,3292652895,2287735231,Financials,Insurance,3.6,3.43,3.22,3.06,4.73,4.82,-0.055555556,-0.05507956,-0.008746356,0.086680108,0.055900621,0.224616863,0.111111111,0.304735026,-0.281183932,-0.133356567,-0.294605809,-0.217863421,0.411269981
Asia Pacific,AU,ASX,Insurance Australia Group Ltd.,AUD,IAG.AX,AU000000IAG3,6271026,3.5,7134163817,4956817020,Financials,Insurance,3.39,3.38,3.4,3.33,3.91,3.81,0.032448378,0.032968728,0.035502959,0.028765934,0.029411765,0.174181444,0.051051051,0.213829079,-0.104859335,0.061409223,-0.081364829,0.001757685,0.532152286
Asia Pacific,AU,ASX,Fairfax Media Ltd.,AUD,FXJ.AX,AU000000FXJ5,6467074,1.015,1381086436,959578856,Consumer Services,Media,1.025,1.035,0.91,0.93,1.405,1.64,-0.009756098,-0.009257018,-0.019323671,-0.025703992,0.115384615,0.172330733,0.091397849,0.161438545,-0.277580071,-0.210666195,-0.381097561,-0.378099046,0.45744547
Asia Pacific,AU,ASX,Seven Network Ltd.,AUD,SEV.AX,AU000000SEV3,6783855,5.89,1053058882,731665311,Consumer Services,Media,6.13,5.95,6.26,5.65,5.99,6.58,-0.039151713,-0.03866745,-0.010084034,-0.016524468,-0.059105431,-0.072479965,0.042477876,0.040487401,-0.016694491,0.007665281,-0.104863222,-0.156383106,0.249822277
Asia Pacific,AU,ASX,Australian Worldwide Exploration Ltd.,AUD,AWE.AX,AU000000AWE9,6003843,2.42,1260389107,875718351,Oil & Gas,Oil & Gas,2.46,2.5,2.49,2.25,2.65,2.55,-0.016260163,-0.015764362,-0.032,-0.038297848,-0.02811245,0.021507405,0.075555556,0.144579567,-0.086792453,-0.002206945,-0.050980392,-0.046382496,0.413367473
Asia Pacific,AU,ASX,Arrow Energy Ltd.,AUD,AOE.AX,AU000000AOE6,6267995,2.73,1545735105,1073976751,Oil & Gas,Oil & Gas,2.77,2.56,2.61,2.69,2.13,2.62,-0.014440433,-0.013943715,0.06640625,0.059468167,0.045977011,0.099379514,0.014869888,0.079999385,0.281690141,0.400406211,0.041984733,0.047033035,0.353814024
Asia Pacific,AU,ASX,Woodside Petroleum Ltd.,AUD,WPL.AX,AU000000WPL2,6979728,38.1,17493953616,12154798972,Oil & Gas,Oil & Gas,41,38.46,36.05,35.98,35.38,35.93,-0.070731707,-0.07026336,-0.009360374,-0.015805517,0.056865465,0.110823878,0.058921623,0.126878149,0.076879593,0.176625163,0.060395213,0.065532712,0.425203513
Asia Pacific,AU,ASX,Oil Search Ltd.,AUD,OSH.AX,PG0008579883,6657604,5.26,4846089735,3367063148,Oil & Gas,Oil & Gas,5.57,5.16,5.18,4.98,4.34,4.59,-0.055655296,-0.05517935,0.019379845,0.012747718,0.015444015,0.067287651,0.0562249,0.124008363,0.211981567,0.324240907,0.145969499,0.151521596,0.30593811
Asia Pacific,AU,ASX,Santos Ltd.,AUD,STO.AX,AU000000STO6,6776703,16.85,9854096944,6846626557,Oil & Gas,Oil & Gas,17.47,15.96,14.72,15.01,14.37,14.2,-0.03548941,-0.035003301,0.055764411,0.048895564,0.144701087,0.182191318,0.122584943,0.173822755,0.172581768,0.258879879,0.186619718,0.171603768,0.342368247
Asia Pacific,AU,ASX,Caltex Australia Ltd.,AUD,CTX.AX,AU000000CTX1,6161503,8.91,1202850000,835740180,Oil & Gas,Oil & Gas,10,9.35,8.57,9.2,8.77,7.05,-0.109,-0.10855094,-0.047058824,-0.053258699,0.039673279,0.092753943,-0.031521739,0.030630565,0.015963512,0.110066753,0.263829787,0.269952904,0.349202167
Asia Pacific,AU,ASX,WorleyParsons Ltd.,AUD,WOR.AX,AU000000WOR2,6562474,18,3622020159,2516579606,Oil & Gas,Oil & Gas,18.44,18.02,16.85,15.09,15.09,13.93,-0.023861171,-0.023369201,-0.001109878,-0.007608698,0.068249258,0.122788873,0.192842942,0.269393898,0.192842942,0.303329574,0.292175162,0.29843561,0.519735055
Asia Pacific,AU,ASX,Billabong International Ltd.,AUD,BBG.AX,AU000000BBG6,6277916,8.5,1499964595,1042175401,Consumer Goods,Personal & Household Goods,8.35,7.94,7.55,7.05,7.4,7.66,0.017964072,0.018477122,0.070528967,0.063564061,0.125827815,0.183307111,0.205673759,0.283048136,0.148648649,0.255041801,0.109660574,0.11503676,0.510826095
Asia Pacific,AU,ASX,David Jones Ltd.,AUD,DJS.AX,AU000000DJS0,6256465,2.8,1387730613,964195230,Consumer Services,Retail,2.98,2.89,2.44,2.32,2.32,3.16,-0.060402685,-0.059929131,-0.031141869,-0.037445299,0.147540984,0.244806326,0.206896552,0.325535213,0.206896552,0.360971758,-0.113924051,-0.081079248,0.464552088
Asia Pacific,AU,ASX,Woolworths Ltd.,AUD,WOW.AX,AU000000WOW2,6981239,25.01,30441070985,21150456120,Consumer Services,Retail,25.5,25.1,24.7,28,27.7,26.44,-0.019215686,-0.018721375,-0.003585657,-0.01006837,0.012550607,0.06424652,-0.106785714,-0.049463493,-0.097111913,-0.013482242,-0.05408472,-0.049501864,0.262202349
Asia Pacific,AU,ASX,Metcash Ltd.,AUD,MTS.AX,AU000000MTS0,B0744W4,4.06,3091306310,2147839624,Consumer Services,Retail,3.92,3.99,3.89,4.16,4.21,4.28,0.035714286,0.036236282,0.01754386,0.010923677,0.043701799,0.09698814,-0.024038462,0.038594083,-0.035629454,0.053695008,-0.051401869,-0.046806014,0.371397616
